Trade Date,Index Value,High,Low,Total Market Value,Dividend Market Value
2020-06-19,10008.64,0.0,0.0,0.0,0.0
2020-06-18,10012.05,0.0,0.0,0.0,0.0
2020-06-17,9982.48,0.0,0.0,0.0,0.0
2020-06-16,9949.37,0.0,0.0,0.0,0.0
2020-06-15,9776.89,0.0,0.0,0.0,0.0
2020-06-12,9663.77,0.0,0.0,0.0,0.0
2020-06-11,9588.48,0.0,0.0,0.0,0.0
2020-06-10,10094.26,0.0,0.0,0.0,0.0
2020-06-09,9967.17,0.0,0.0,0.0,0.0
2020-06-08,9901.52,0.0,0.0,0.0,0.0
2020-06-05,9824.39,0.0,0.0,0.0,0.0
2020-06-04,9629.66,0.0,0.0,0.0,0.0
2020-06-03,9704.69,0.0,0.0,0.0,0.0
2020-06-02,9657.31,0.0,0.0,0.0,0.0
2020-06-01,9598.89,0.0,0.0,0.0,0.0
2020-05-29,9555.52,0.0,0.0,0.0,0.0
2020-05-28,9416.71,0.0,0.0,0.0,0.0
2020-05-27,9442.05,0.0,0.0,0.0,0.0
2020-05-26,9389.98,0.0,0.0,0.0,0.0
2020-05-22,9413.99,0.0,0.0,0.0,0.0
2020-05-21,9377.99,0.0,0.0,0.0,0.0
2020-05-20,9485.02,0.0,0.0,0.0,0.0
2020-05-19,9298.54,0.0,0.0,0.0,0.0
2020-05-18,9331.93,0.0,0.0,0.0,0.0
2020-05-15,9152.64,0.0,0.0,0.0,0.0
2020-05-14,9094.43,0.0,0.0,0.0,0.0
2020-05-13,9000.08,0.0,0.0,0.0,0.0
2020-05-12,9112.45,0.0,0.0,0.0,0.0
2020-05-11,9298.92,0.0,0.0,0.0,0.0
2020-05-08,9220.35,0.0,0.0,0.0,0.0
2020-05-07,9101.88,0.0,0.0,0.0,0.0
2020-05-06,8984.86,0.0,0.0,0.0,0.0
2020-05-05,8930.62,0.0,0.0,0.0,0.0
2020-05-04,8834.11,0.0,0.0,0.0,0.0
2020-05-01,8718.18,0.0,0.0,0.0,0.0
2020-04-30,9000.51,0.0,0.0,0.0,0.0
2020-04-29,8982.76,0.0,0.0,0.0,0.0
2020-04-28,8677.6,0.0,0.0,0.0,0.0
2020-04-27,8837.66,0.0,0.0,0.0,0.0
2020-04-24,8786.6,0.0,0.0,0.0,0.0
2020-04-23,8641.5,0.0,0.0,0.0,0.0
2020-04-22,8664.63,0.0,0.0,0.0,0.0
2020-04-21,8403.0,0.0,0.0,0.0,0.0
2020-04-20,8726.51,0.0,0.0,0.0,0.0
2020-04-17,8832.41,0.0,0.0,0.0,0.0
2020-04-16,8757.83,0.0,0.0,0.0,0.0
2020-04-15,8591.96,0.0,0.0,0.0,0.0
2020-04-14,8692.16,0.0,0.0,0.0,0.0
2020-04-13,8332.74,0.0,0.0,0.0,0.0
2020-04-09,8238.53,0.0,0.0,0.0,0.0
2020-04-08,8229.54,0.0,0.0,0.0,0.0
2020-04-07,8049.31,0.0,0.0,0.0,0.0
2020-04-06,8081.66,0.0,0.0,0.0,0.0
2020-04-03,7528.11,0.0,0.0,0.0,0.0
2020-04-02,7635.66,0.0,0.0,0.0,0.0
2020-04-01,7486.29,0.0,0.0,0.0,0.0
2020-03-31,7813.5,0.0,0.0,0.0,0.0
2020-03-30,7889.01,0.0,0.0,0.0,0.0
2020-03-27,7588.37,0.0,0.0,0.0,0.0
2020-03-26,7897.13,0.0,0.0,0.0,0.0
2020-03-25,7469.62,0.0,0.0,0.0,0.0
2020-03-24,7553.82,0.0,0.0,0.0,0.0
2020-03-23,7006.92,0.0,0.0,0.0,0.0
2020-03-20,6994.29,0.0,0.0,0.0,0.0
2020-03-19,7288.52,0.0,0.0,0.0,0.0
2020-03-18,7175.18,0.0,0.0,0.0,0.0
2020-03-17,7473.95,0.0,0.0,0.0,0.0
2020-03-16,7020.38,0.0,0.0,0.0,0.0
2020-03-13,7995.26,0.0,0.0,0.0,0.0
2020-03-12,7263.65,0.0,0.0,0.0,0.0
2020-03-11,8006.12,0.0,0.0,0.0,0.0
2020-03-10,8372.27,0.0,0.0,0.0,0.0
2020-03-09,7948.03,0.0,0.0,0.0,0.0
2020-03-06,8530.34,0.0,0.0,0.0,0.0
2020-03-05,8671.66,0.0,0.0,0.0,0.0
2020-03-04,8949.28,0.0,0.0,0.0,0.0
2020-03-03,8594.49,0.0,0.0,0.0,0.0
2020-03-02,8877.98,0.0,0.0,0.0,0.0
2020-02-28,8461.83,0.0,0.0,0.0,0.0
2020-02-27,8436.67,0.0,0.0,0.0,0.0
2020-02-26,8873.76,0.0,0.0,0.0,0.0
2020-02-25,8834.87,0.0,0.0,0.0,0.0
2020-02-24,9079.63,0.0,0.0,0.0,0.0
2020-02-21,9446.69,0.0,0.0,0.0,0.0
2020-02-20,9627.83,0.0,0.0,0.0,0.0
2020-02-19,9718.73,0.0,0.0,0.0,0.0
2020-02-18,9629.8,0.0,0.0,0.0,0.0
2020-02-14,9623.58,0.0,0.0,0.0,0.0
2020-02-13,9595.7,0.0,0.0,0.0,0.0
2020-02-12,9613.2,0.0,0.0,0.0,0.0
2020-02-11,9517.86,0.0,0.0,0.0,0.0
2020-02-10,9516.84,0.0,0.0,0.0,0.0
2020-02-07,9401.1,0.0,0.0,0.0,0.0
2020-02-06,9445.92,0.0,0.0,0.0,0.0
2020-02-05,9367.48,0.0,0.0,0.0,0.0
2020-02-04,9334.06,0.0,0.0,0.0,0.0
2020-02-03,9126.23,0.0,0.0,0.0,0.0
2020-01-31,8991.51,0.0,0.0,0.0,0.0
2020-01-30,9136.09,0.0,0.0,0.0,0.0
2020-01-29,9101.61,0.0,0.0,0.0,0.0
2020-01-28,9090.93,0.0,0.0,0.0,0.0
2020-01-27,8952.18,0.0,0.0,0.0,0.0
2020-01-24,9141.47,0.0,0.0,0.0,0.0
2020-01-23,9216.98,0.0,0.0,0.0,0.0
2020-01-22,9188.57,0.0,0.0,0.0,0.0
2020-01-21,9166.63,0.0,0.0,0.0,0.0
2020-01-17,9173.73,0.0,0.0,0.0,0.0
2020-01-16,9125.0,0.0,0.0,0.0,0.0
2020-01-15,9035.67,0.0,0.0,0.0,0.0
2020-01-14,9033.42,0.0,0.0,0.0,0.0
2020-01-13,9070.65,0.0,0.0,0.0,0.0
2020-01-10,8966.64,0.0,0.0,0.0,0.0
2020-01-09,8989.63,0.0,0.0,0.0,0.0
2020-01-08,8912.37,0.0,0.0,0.0,0.0
2020-01-07,8846.45,0.0,0.0,0.0,0.0
2020-01-06,8848.52,0.0,0.0,0.0,0.0
2020-01-03,8793.9,0.0,0.0,0.0,0.0
2020-01-02,8872.22,0.0,0.0,0.0,0.0
2019-12-31,8733.07,0.0,0.0,0.0,0.0
2019-12-30,8709.73,0.0,0.0,0.0,0.0
2019-12-27,8770.98,0.0,0.0,0.0,0.0
2019-12-26,8778.31,0.0,0.0,0.0,0.0
2019-12-24,8699.51,0.0,0.0,0.0,0.0
2019-12-23,8696.01,0.0,0.0,0.0,0.0
2019-12-20,8678.49,0.0,0.0,0.0,0.0
2019-12-19,8641.29,0.0,0.0,0.0,0.0
2019-12-18,8580.62,0.0,0.0,0.0,0.0
2019-12-17,8575.7,0.0,0.0,0.0,0.0
2019-12-16,8570.33,0.0,0.0,0.0,0.0
2019-12-13,8487.71,0.0,0.0,0.0,0.0
2019-12-12,8466.89,0.0,0.0,0.0,0.0
2019-12-11,8402.61,0.0,0.0,0.0,0.0
2019-12-10,8354.29,0.0,0.0,0.0,0.0
2019-12-09,8362.74,0.0,0.0,0.0,0.0
2019-12-06,8397.37,0.0,0.0,0.0,0.0
2019-12-05,8308.4,0.0,0.0,0.0,0.0
2019-12-04,8296.53,0.0,0.0,0.0,0.0
2019-12-03,8254.74,0.0,0.0,0.0,0.0
2019-12-02,8309.26,0.0,0.0,0.0,0.0
2019-11-29,8403.68,0.0,0.0,0.0,0.0
2019-11-27,8444.71,0.0,0.0,0.0,0.0
2019-11-26,8385.75,0.0,0.0,0.0,0.0
2019-11-25,8371.93,0.0,0.0,0.0,0.0
2019-11-22,8272.05,0.0,0.0,0.0,0.0
2019-11-21,8265.62,0.0,0.0,0.0,0.0
2019-11-20,8283.75,0.0,0.0,0.0,0.0
2019-11-19,8338.74,0.0,0.0,0.0,0.0
2019-11-18,8328.48,0.0,0.0,0.0,0.0
2019-11-15,8315.52,0.0,0.0,0.0,0.0
2019-11-14,8257.83,0.0,0.0,0.0,0.0
2019-11-13,8259.81,0.0,0.0,0.0,0.0
2019-11-12,8263.79,0.0,0.0,0.0,0.0
2019-11-11,8241.91,0.0,0.0,0.0,0.0
2019-11-08,8255.89,0.0,0.0,0.0,0.0
2019-11-07,8219.65,0.0,0.0,0.0,0.0
2019-11-06,8196.03,0.0,0.0,0.0,0.0
2019-11-05,8210.18,0.0,0.0,0.0,0.0
2019-11-04,8210.66,0.0,0.0,0.0,0.0
2019-11-01,8161.17,0.0,0.0,0.0,0.0
2019-10-31,8083.83,0.0,0.0,0.0,0.0
2019-10-30,8083.11,0.0,0.0,0.0,0.0
2019-10-29,8047.51,0.0,0.0,0.0,0.0
2019-10-28,8110.67,0.0,0.0,0.0,0.0
2019-10-25,8029.22,0.0,0.0,0.0,0.0
2019-10-24,7966.72,0.0,0.0,0.0,0.0
2019-10-23,7889.47,0.0,0.0,0.0,0.0
2019-10-22,7874.62,0.0,0.0,0.0,0.0
2019-10-21,7940.33,0.0,0.0,0.0,0.0
2019-10-18,7868.49,0.0,0.0,0.0,0.0
2019-10-17,7942.14,0.0,0.0,0.0,0.0
2019-10-16,7920.21,0.0,0.0,0.0,0.0
2019-10-15,7942.85,0.0,0.0,0.0,0.0
2019-10-14,7842.33,0.0,0.0,0.0,0.0
2019-10-11,7843.87,0.0,0.0,0.0,0.0
2019-10-10,7740.36,0.0,0.0,0.0,0.0
